index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance,
312,20,25,260,3,4,0.9,15,0.9,0.000268,1.9532,364,
313,29,36,290,4,4,1.29,16,0.6,0.000268,0.00204,8.41,
314,29,36,290,4,4,1.29,16,0.6,0.000268,0.00257,16.8,
315,29,36,290,4,4,1.29,16,0.6,0.000268,0.00511,33.6,
316,29,36,290,4,4,1.29,16,0.6,0.000268,0.00812,42.1,
317,29,36,290,4,4,1.29,16,0.6,0.000268,0.00974,50.5,
318,29,36,290,4,4,1.29,16,0.6,0.000268,0.0102,67.3,
319,29,36,290,4,4,1.29,16,0.6,0.000268,0.0198,84.1,
320,29,36,290,4,4,1.29,16,0.6,0.000268,0.0195,101,
321,29,36,290,4,4,1.29,16,0.6,0.000268,0.0159,105,
322,29,36,290,4,4,1.29,16,0.6,0.000268,0.059,109,
323,29,36,290,4,4,1.29,16,0.6,0.000268,0.0644,118,
324,29,36,290,4,4,1.29,16,0.6,0.000268,0.0755,135,
325,29,36,290,4,4,1.29,16,0.6,0.000268,0.0871,151,
326,29,36,290,4,4,1.29,16,0.6,0.000268,0.116,168,
327,29,36,290,4,4,1.29,16,0.6,0.000268,0.131,185,
328,29,36,290,4,4,1.29,16,0.6,0.000268,0.161,252,
329,29,36,290,4,4,1.29,16,0.6,0.000268,0.241,421,
330,29,36,290,4,4,1.29,16,0.6,0.000268,0.384,589,
331,29,36,290,4,4,1.29,16,0.6,0.000268,0.501,757,
332,29,36,290,4,4,1.29,16,0.6,0.000268,0.56,841,
333,29,36,290,4,4,1.29,16,0.6,0.000268,0.59,883,
334,29,36,290,4,4,1.29,16,0.6,0.000268,0.608,908,
335,29,36,290,4,4,1.29,16,0.6,0.000268,0.62,925,
336,29,36,290,4,4,1.29,16,0.6,0.000268,0.714,967,
337,29,36,290,4,4,1.29,16,0.6,0.000268,1.21,1010,
338,29,36,290,4,4,1.29,16,0.6,0.000268,1.58,1050,
339,29,36,290,4,4,1.29,16,0.6,0.000268,1.76,1090,
340,29,36,290,4,4,1.29,16,0.6,0.000268,1.99,1090,
341,32,40,280,4,4,1.43,16,0.6,0.000268,0.00114,8.96,
342,32,40,280,4,4,1.43,16,0.6,0.000268,0.00168,17.9,
343,32,40,280,4,4,1.43,16,0.6,0.000268,0.00335,35.8,
344,32,40,280,4,4,1.43,16,0.6,0.000268,0.00669,53.8,
345,32,40,280,4,4,1.43,16,0.6,0.000268,0.00779,62.7,
346,32,40,280,4,4,1.43,16,0.6,0.000268,0.00835,67.2,
347,32,40,280,4,4,1.43,16,0.6,0.000268,0.0089,71.7,
348,32,40,280,4,4,1.43,16,0.6,0.000268,0.01,80.6,
349,32,40,280,4,4,1.43,16,0.6,0.000268,0.0122,98.6,
350,32,40,280,4,4,1.43,16,0.6,0.000268,0.0642,179,
351,32,40,280,4,4,1.43,16,0.6,0.000268,0.115,269,
352,32,40,280,4,4,1.43,16,0.6,0.000268,0.136,448,
353,32,40,280,4,4,1.43,16,0.6,0.000268,0.254,627,
354,32,40,280,4,4,1.43,16,0.6,0.000268,0.228,806,
355,32,40,280,4,4,1.43,16,0.6,0.000268,0.281,986,
356,32,40,280,4,4,1.43,16,0.6,0.000268,0.386,1160,
357,32,40,280,4,4,1.43,16,0.6,0.000268,0.417,1250,
358,32,40,280,4,4,1.43,16,0.6,0.000268,0.433,1300,
359,32,40,280,4,4,1.43,16,0.6,0.000268,0.449,1340,
360,32,40,280,4,4,1.43,16,0.6,0.000268,0.466,1390,
361,32,40,280,4,4,1.43,16,0.6,0.000268,0.482,1430,
362,32,40,280,4,4,1.43,16,0.6,0.000268,0.695,1450,
363,32,40,280,4,4,1.43,16,0.6,0.000268,0.709,1480,
364,32,40,280,4,4,1.43,16,0.6,0.000268,1.45,1510,
365,32,40,280,4,4,1.43,16,0.6,0.000268,1.79,1510,
366,31,26,310,4,4,1.14,14,0.8,0.000268,,9.61,0.00589
367,31,26,310,4,4,1.14,14,0.8,0.000268,,19.2,0.0102
368,31,26,310,4,4,1.14,14,0.8,0.000268,,24,0.0146
369,31,26,310,4,4,1.14,14,0.8,0.000268,,26.9,0.0164
370,31,26,310,4,4,1.14,14,0.8,0.000268,,27.9,0.017
371,31,26,310,4,4,1.14,14,0.8,0.000268,,28.8,0.0176
372,31,26,310,4,4,1.14,14,0.8,0.000268,,38.4,0.0204
373,31,26,310,4,4,1.14,14,0.8,0.000268,,48.1,0.0293
374,31,26,310,4,4,1.14,14,0.8,0.000268,,50.9,0.0727
375,31,26,310,4,4,1.14,14,0.8,0.000268,,52.9,0.0763
376,31,26,310,4,4,1.14,14,0.8,0.000268,,57.7,0.0852
377,31,26,310,4,4,1.14,14,0.8,0.000268,,67.3,0.0968
378,31,26,310,4,4,1.14,14,0.8,0.000268,,86.5,0.157
379,31,26,310,4,4,1.14,14,0.8,0.000268,,115,0.199
380,31,26,310,4,4,1.14,14,0.8,0.000268,,192,0.27
381,31,26,310,4,4,1.14,14,0.8,0.000268,,288,0.492
382,31,26,310,4,4,1.14,14,0.8,0.000268,,384,0.665
383,31,26,310,4,4,1.14,14,0.8,0.000268,,399,0.648
384,31,26,310,4,4,1.14,14,0.8,0.000268,,404,0.608
385,31,26,310,4,4,1.14,14,0.8,0.000268,,407,0.613
386,31,26,310,4,4,1.14,14,0.8,0.000268,,408,0.616
387,31,26,310,4,4,1.14,14,0.8,0.000268,,413,0.623
388,31,26,310,4,4,1.14,14,0.8,0.000268,,432,0.704
389,31,26,310,4,4,1.14,14,0.8,0.000268,,461,0.75
390,31,26,310,4,4,1.14,14,0.8,0.000268,,481,1.19
391,31,26,310,4,4,1.14,14,0.8,0.000268,,501,2.3
392,38,32,300,4,4,1.4,13,0.8,0.000268,0.000998,11.4,
393,38,32,300,4,4,1.4,13,0.8,0.000268,0.00844,34.2,
394,38,32,300,4,4,1.4,13,0.8,0.000268,0.0131,45.6,
395,38,32,300,4,4,1.4,13,0.8,0.000268,0.0126,51.3,
396,38,32,300,4,4,1.4,13,0.8,0.000268,0.014,57,
397,38,32,300,4,4,1.4,13,0.8,0.000268,0.0168,68.4,
398,38,32,300,4,4,1.4,13,0.8,0.000268,0.0196,79.8,
399,38,32,300,4,4,1.4,13,0.8,0.000268,0.021,85.5,
400,38,32,300,4,4,1.4,13,0.8,0.000268,0.0219,88.9,
401,38,32,300,4,4,1.4,13,0.8,0.000268,0.0588,91.2,
402,38,32,300,4,4,1.4,13,0.8,0.000268,0.073,114,
403,38,32,300,4,4,1.4,13,0.8,0.000268,0.169,228,
404,38,32,300,4,4,1.4,13,0.8,0.000268,0.316,456,
405,38,32,300,4,4,1.4,13,0.8,0.000268,0.492,684,
406,38,32,300,4,4,1.4,13,0.8,0.000268,0.577,798,
407,38,32,300,4,4,1.4,13,0.8,0.000268,0.62,855,
408,38,32,300,4,4,1.4,13,0.8,0.000268,0.624,861,
409,38,32,300,4,4,1.4,13,0.8,0.000268,0.628,866,
410,38,32,300,4,4,1.4,13,0.8,0.000268,0.633,872,
