index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance
247.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,1.0867,458.0
248.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,1.751,458.0
249.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.00115,5.6
250.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.00281,11.2
251.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.00336,16.8
252.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.00557,28.0
253.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.006679999999999999,33.6
254.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.0089,44.8
255.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.0111,56.0
256.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.0134,67.2
257.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.0178,89.6
258.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.02,101.0
259.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.0211,106.0
260.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.0578,112.0
261.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.113,168.0
262.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.172,280.0
263.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.172,392.0
264.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.29600000000000004,504.0
265.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.292,560.0
266.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.45,672.0
267.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.531,784.0
268.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,0.613,812.0
269.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,1.03,896.0
270.0,20.0,40.0,280.0,4.0,4.0,1.13,16.0,0.6,0.000268,1.43,952.0
